Sequence ID,Start,End,Motif
">LAC40876.1 glucose-6-phosphatase catalytic subunit 2, partial [Hypotaenidia okinawae]",,,None found
">LAC45370.1 glucose-6-phosphatase catalytic subunit 3, partial [Hypotaenidia okinawae]",,,None found
>XP_042664502.1 glucose-6-phosphatase 2 isoform X2 [Tyto alba],,,None found
>XP_042664501.1 glucose-6-phosphatase 2 isoform X2 [Tyto alba],,,None found
>XP_042664500.1 glucose-6-phosphatase 2 isoform X2 [Tyto alba],,,None found
>XP_042664499.1 glucose-6-phosphatase 2 isoform X2 [Tyto alba],,,None found
>XP_042664498.1 glucose-6-phosphatase 2 isoform X2 [Tyto alba],,,None found
>XP_042664497.1 glucose-6-phosphatase 2 isoform X1 [Tyto alba],,,None found
>XP_032841869.2 glucose-6-phosphatase catalytic subunit 1 [Tyto alba],139,142,AMIDATION
>XP_032841869.2 glucose-6-phosphatase catalytic subunit 1 [Tyto alba],,,None found
>XP_042643152.1 glucose-6-phosphatase catalytic subunit 1-like [Tyto alba],139,142,AMIDATION
>XP_042643152.1 glucose-6-phosphatase catalytic subunit 1-like [Tyto alba],,,None found
>XP_042749313.1 glucose-6-phosphatase 3 [Lagopus leucura],,,None found
>XP_042743846.1 glucose-6-phosphatase catalytic subunit 1 [Lagopus leucura],139,142,AMIDATION
>XP_042743846.1 glucose-6-phosphatase catalytic subunit 1 [Lagopus leucura],,,None found
>XP_042730711.1 glucose-6-phosphatase 2 isoform X2 [Lagopus leucura],,,None found
>XP_042730710.1 glucose-6-phosphatase 2 isoform X1 [Lagopus leucura],,,None found
>XP_042692540.1 glucose-6-phosphatase catalytic subunit 1 [Centrocercus urophasianus],139,142,AMIDATION
>XP_042692540.1 glucose-6-phosphatase catalytic subunit 1 [Centrocercus urophasianus],,,None found
>XP_042677892.1 glucose-6-phosphatase 2 [Centrocercus urophasianus],,,None found
>XP_032934646.1 glucose-6-phosphatase catalytic subunit 1 [Catharus ustulatus],139,142,AMIDATION
>XP_032934646.1 glucose-6-phosphatase catalytic subunit 1 [Catharus ustulatus],,,None found
>XP_032920757.1 glucose-6-phosphatase 2 isoform X2 [Catharus ustulatus],,,None found
>XP_032920755.1 glucose-6-phosphatase 2 isoform X1 [Catharus ustulatus],,,None found
>XP_041897012.1 glucose-6-phosphatase 2 [Corvus kubaryi],,,None found
>XP_041883754.1 glucose-6-phosphatase catalytic subunit 1 [Corvus kubaryi],139,142,AMIDATION
>XP_041883754.1 glucose-6-phosphatase catalytic subunit 1 [Corvus kubaryi],,,None found
>XP_041871241.1 glucose-6-phosphatase 3 [Corvus kubaryi],,,None found
>XP_041573612.1 glucose-6-phosphatase 2 isoform X2 [Taeniopygia guttata],,,None found
>XP_041577513.1 glucose-6-phosphatase 3 isoform X2 [Taeniopygia guttata],,,None found
>XP_030111845.3 glucose-6-phosphatase 3 isoform X2 [Taeniopygia guttata],,,None found
>XP_030111844.3 glucose-6-phosphatase 3 isoform X1 [Taeniopygia guttata],,,None found
>XP_004174736.4 glucose-6-phosphatase catalytic subunit 1 [Taeniopygia guttata],,,None found
>XP_030133289.1 glucose-6-phosphatase 2 isoform X3 [Taeniopygia guttata],,,None found
>XP_030133287.1 glucose-6-phosphatase 2 isoform X2 [Taeniopygia guttata],,,None found
>XP_002194882.1 glucose-6-phosphatase 2 isoform X1 [Taeniopygia guttata],,,None found
>XP_041321359.1 glucose-6-phosphatase 3 [Pyrgilauda ruficollis],,,None found
>XP_041318999.1 glucose-6-phosphatase catalytic subunit 1 isoform X2 [Pyrgilauda ruficollis],,,None found
>XP_041318998.1 glucose-6-phosphatase catalytic subunit 1 isoform X1 [Pyrgilauda ruficollis],,,None found
>XP_041329252.1 glucose-6-phosphatase 2 [Pyrgilauda ruficollis],,,None found
>XP_041259516.1 glucose-6-phosphatase 2 [Onychostruthus taczanowskii],,,None found
>XP_041282316.1 glucose-6-phosphatase catalytic subunit 1 isoform X2 [Onychostruthus taczanowskii],,,None found
>XP_041282315.1 glucose-6-phosphatase catalytic subunit 1 isoform X1 [Onychostruthus taczanowskii],,,None found
>XP_041282173.1 glucose-6-phosphatase 3 isoform X2 [Onychostruthus taczanowskii],,,None found
>XP_041282171.1 glucose-6-phosphatase 3 isoform X1 [Onychostruthus taczanowskii],264,267,AMIDATION
>XP_041282171.1 glucose-6-phosphatase 3 isoform X1 [Onychostruthus taczanowskii],,,None found
>XP_040981520.1 glucose-6-phosphatase catalytic subunit 1 [Aquila chrysaetos chrysaetos],139,142,AMIDATION
>XP_040981520.1 glucose-6-phosphatase catalytic subunit 1 [Aquila chrysaetos chrysaetos],,,None found
>XP_040981519.1 glucose-6-phosphatase catalytic subunit 1 [Aquila chrysaetos chrysaetos],139,142,AMIDATION
>XP_040981519.1 glucose-6-phosphatase catalytic subunit 1 [Aquila chrysaetos chrysaetos],,,None found
>XP_040981518.1 glucose-6-phosphatase catalytic subunit 1 [Aquila chrysaetos chrysaetos],139,142,AMIDATION
>XP_040981518.1 glucose-6-phosphatase catalytic subunit 1 [Aquila chrysaetos chrysaetos],,,None found
>XP_040981517.1 glucose-6-phosphatase catalytic subunit 1 [Aquila chrysaetos chrysaetos],139,142,AMIDATION
>XP_040981517.1 glucose-6-phosphatase catalytic subunit 1 [Aquila chrysaetos chrysaetos],,,None found
>XP_040980574.1 glucose-6-phosphatase 2 isoform X2 [Aquila chrysaetos chrysaetos],,,None found
>XP_029877954.1 glucose-6-phosphatase catalytic subunit 1 [Aquila chrysaetos chrysaetos],139,142,AMIDATION
>XP_029877954.1 glucose-6-phosphatase catalytic subunit 1 [Aquila chrysaetos chrysaetos],,,None found
>XP_029877431.1 glucose-6-phosphatase 3 [Aquila chrysaetos chrysaetos],,,None found
>XP_029877430.1 glucose-6-phosphatase 3 [Aquila chrysaetos chrysaetos],,,None found
>XP_029877429.1 glucose-6-phosphatase 3 [Aquila chrysaetos chrysaetos],,,None found
>XP_029874515.1 glucose-6-phosphatase 2 isoform X1 [Aquila chrysaetos chrysaetos],,,None found
>XP_040461031.1 glucose-6-phosphatase 2 isoform X2 [Falco naumanni],,,None found
>XP_040461030.1 glucose-6-phosphatase 2 isoform X1 [Falco naumanni],,,None found
>XP_040473657.1 glucose-6-phosphatase [Falco naumanni],139,142,AMIDATION
>XP_040473657.1 glucose-6-phosphatase [Falco naumanni],,,None found
>XP_040473352.1 glucose-6-phosphatase 3 isoform X3 [Falco naumanni],272,275,AMIDATION
>XP_040473352.1 glucose-6-phosphatase 3 isoform X3 [Falco naumanni],,,None found
>XP_040473351.1 glucose-6-phosphatase 3 isoform X2 [Falco naumanni],,,None found
>XP_040473350.1 glucose-6-phosphatase 3 isoform X1 [Falco naumanni],,,None found
>XP_040418295.1 glucose-6-phosphatase 2 [Cygnus olor],,,None found
>XP_040392851.1 glucose-6-phosphatase [Cygnus olor],139,142,AMIDATION
>XP_040392851.1 glucose-6-phosphatase [Cygnus olor],,,None found
>XP_039556497.1 glucose-6-phosphatase 3 [Passer montanus],,,None found
>XP_039553177.1 glucose-6-phosphatase [Passer montanus],,,None found
>XP_039552516.1 glucose-6-phosphatase 2 isoform X2 [Passer montanus],,,None found
>XP_039552440.1 glucose-6-phosphatase 2 isoform X1 [Passer montanus],,,None found
>XP_010405132.3 glucose-6-phosphatase 2 [Corvus cornix cornix],,,None found
>XP_039420514.1 glucose-6-phosphatase 3 [Corvus cornix cornix],,,None found
>XP_010411101.1 glucose-6-phosphatase [Corvus cornix cornix],139,142,AMIDATION
>XP_010411101.1 glucose-6-phosphatase [Corvus cornix cornix],,,None found
>XP_039243894.1 glucose-6-phosphatase 2 isoform X5 [Pipra filicauda],,,None found
>XP_039243893.1 glucose-6-phosphatase 2 isoform X6 [Pipra filicauda],,,None found
>XP_039243892.1 glucose-6-phosphatase 2 isoform X5 [Pipra filicauda],,,None found
>XP_039243891.1 glucose-6-phosphatase 2 isoform X5 [Pipra filicauda],,,None found
>XP_039243890.1 glucose-6-phosphatase 2 isoform X4 [Pipra filicauda],,,None found
>XP_039243889.1 glucose-6-phosphatase 2 isoform X4 [Pipra filicauda],,,None found
>XP_039243888.1 glucose-6-phosphatase 2 isoform X3 [Pipra filicauda],,,None found
>XP_039243887.1 glucose-6-phosphatase 2 isoform X3 [Pipra filicauda],,,None found
>XP_039243886.1 glucose-6-phosphatase 2 isoform X2 [Pipra filicauda],,,None found
>XP_027601652.2 glucose-6-phosphatase [Pipra filicauda],139,142,AMIDATION
>XP_027601652.2 glucose-6-phosphatase [Pipra filicauda],,,None found
>XP_027594699.1 glucose-6-phosphatase 3 isoform X2 [Pipra filicauda],,,None found
>XP_027594698.1 glucose-6-phosphatase 3 isoform X1 [Pipra filicauda],,,None found
>XP_027589307.1 glucose-6-phosphatase 2 isoform X3 [Pipra filicauda],,,None found
>XP_027589294.1 glucose-6-phosphatase 2 isoform X1 [Pipra filicauda],,,None found
>XP_012954387.1 glucose-6-phosphatase 2 isoform X3 [Anas platyrhynchos],,,None found
>XP_012954383.1 glucose-6-phosphatase 2 isoform X1 [Anas platyrhynchos],,,None found
>XP_037999410.1 glucose-6-phosphatase 2 isoform X3 [Motacilla alba alba],,,None found
>XP_037999409.1 glucose-6-phosphatase 2 isoform X2 [Motacilla alba alba],,,None found
>XP_037999408.1 glucose-6-phosphatase 2 isoform X1 [Motacilla alba alba],,,None found
>XP_038019160.1 glucose-6-phosphatase [Motacilla alba alba],,,None found
>XP_027301312.1 glucose-6-phosphatase catalytic subunit 1 [Anas platyrhynchos],139,142,AMIDATION
>XP_027301312.1 glucose-6-phosphatase catalytic subunit 1 [Anas platyrhynchos],,,None found
>XP_037254777.1 glucose-6-phosphatase 2 isoform X3 [Falco rusticolus],,,None found
>XP_037254776.1 glucose-6-phosphatase 2 isoform X2 [Falco rusticolus],4,7,AMIDATION
>XP_037254776.1 glucose-6-phosphatase 2 isoform X2 [Falco rusticolus],,,None found
>XP_037254775.1 glucose-6-phosphatase 2 isoform X1 [Falco rusticolus],,,None found
>XP_037266979.1 glucose-6-phosphatase [Falco rusticolus],139,142,AMIDATION
>XP_037266979.1 glucose-6-phosphatase [Falco rusticolus],,,None found
>XP_037266894.1 glucose-6-phosphatase 3 isoform X3 [Falco rusticolus],,,None found
>XP_037266893.1 glucose-6-phosphatase 3 isoform X2 [Falco rusticolus],,,None found
>XP_037266891.1 glucose-6-phosphatase 3 isoform X1 [Falco rusticolus],,,None found
>XP_009639048.1 glucose-6-phosphatase 2 [Egretta garzetta],,,None found
>XP_009646606.1 glucose-6-phosphatase isoform X2 [Egretta garzetta],139,142,AMIDATION
>XP_009646606.1 glucose-6-phosphatase isoform X2 [Egretta garzetta],,,None found
>XP_009646599.1 glucose-6-phosphatase isoform X1 [Egretta garzetta],139,142,AMIDATION
>XP_009646599.1 glucose-6-phosphatase isoform X1 [Egretta garzetta],,,None found
>XP_035187784.1 glucose-6-phosphatase 2 [Oxyura jamaicensis],,,None found
>XP_035203747.1 glucose-6-phosphatase isoform X2 [Oxyura jamaicensis],139,142,AMIDATION
>XP_035203747.1 glucose-6-phosphatase isoform X2 [Oxyura jamaicensis],,,None found
>XP_035203746.1 glucose-6-phosphatase isoform X1 [Oxyura jamaicensis],164,167,AMIDATION
>XP_035203746.1 glucose-6-phosphatase isoform X1 [Oxyura jamaicensis],8,11,AMIDATION
>XP_035203746.1 glucose-6-phosphatase isoform X1 [Oxyura jamaicensis],,,None found
>KAF4804467.1 Glucose-6-phosphatase 3 [Turdus rufiventris],,,None found
>KAF4787459.1 Glucose-6-phosphatase [Turdus rufiventris],139,142,AMIDATION
>KAF4787459.1 Glucose-6-phosphatase [Turdus rufiventris],,,None found
">XP_015471872.1 glucose-6-phosphatase 3, partial [Parus major]",,,None found
>XP_015506695.1 glucose-6-phosphatase [Parus major],,,None found
>XP_015489759.1 glucose-6-phosphatase 2 [Parus major],,,None found
>XP_030364589.1 glucose-6-phosphatase 3 isoform X2 [Strigops habroptila],,,None found
>XP_030364588.1 glucose-6-phosphatase 3 isoform X1 [Strigops habroptila],,,None found
>XP_030364364.1 glucose-6-phosphatase [Strigops habroptila],139,142,AMIDATION
>XP_030364364.1 glucose-6-phosphatase [Strigops habroptila],,,None found
>XP_030342236.1 glucose-6-phosphatase 2 isoform X3 [Strigops habroptila],,,None found
>XP_030342235.1 glucose-6-phosphatase 2 isoform X2 [Strigops habroptila],,,None found
>XP_030342234.1 glucose-6-phosphatase 2 isoform X2 [Strigops habroptila],,,None found
>XP_030342233.1 glucose-6-phosphatase 2 isoform X2 [Strigops habroptila],,,None found
>XP_030342232.1 glucose-6-phosphatase 2 isoform X2 [Strigops habroptila],,,None found
>XP_030342231.1 glucose-6-phosphatase 2 isoform X1 [Strigops habroptila],,,None found
>KAF2985674.1 hypothetical protein EK904_012209 [Melospiza melodia maxima],,,None found
>XP_032548564.1 glucose-6-phosphatase 2 isoform X3 [Chiroxiphia lanceolata],,,None found
>XP_032548563.1 glucose-6-phosphatase 2 isoform X3 [Chiroxiphia lanceolata],,,None found
>XP_032548562.1 glucose-6-phosphatase 2 isoform X3 [Chiroxiphia lanceolata],,,None found
>XP_032548561.1 glucose-6-phosphatase 2 isoform X3 [Chiroxiphia lanceolata],,,None found
>XP_032548560.1 glucose-6-phosphatase 2 isoform X2 [Chiroxiphia lanceolata],,,None found
>XP_032548559.1 glucose-6-phosphatase 2 isoform X2 [Chiroxiphia lanceolata],,,None found
>XP_032548558.1 glucose-6-phosphatase 2 isoform X2 [Chiroxiphia lanceolata],,,None found
>XP_032548557.1 glucose-6-phosphatase 2 isoform X1 [Chiroxiphia lanceolata],,,None found
>XP_032567349.1 glucose-6-phosphatase 3 [Chiroxiphia lanceolata],,,None found
>XP_032567348.1 glucose-6-phosphatase 3 [Chiroxiphia lanceolata],,,None found
>XP_032566992.1 glucose-6-phosphatase [Chiroxiphia lanceolata],139,142,AMIDATION
>XP_032566992.1 glucose-6-phosphatase [Chiroxiphia lanceolata],,,None found
>XP_015741500.1 glucose-6-phosphatase [Coturnix japonica],67,70,AMIDATION
>XP_015741500.1 glucose-6-phosphatase [Coturnix japonica],,,None found
>XP_015741373.1 glucose-6-phosphatase 3 [Coturnix japonica],,,None found
>XP_015724075.1 glucose-6-phosphatase 2 isoform X3 [Coturnix japonica],,,None found
>XP_015724074.1 glucose-6-phosphatase 2 isoform X2 [Coturnix japonica],,,None found
>XP_015724073.1 glucose-6-phosphatase 2 isoform X1 [Coturnix japonica],,,None found
">KAF1671963.1 Glucose-6-phosphatase, partial [Pygoscelis papua]",139,142,AMIDATION
">KAF1671963.1 Glucose-6-phosphatase, partial [Pygoscelis papua]",,,None found
">KAF1664939.1 Glucose-6-phosphatase 2, partial [Aptenodytes patagonicus]",,,None found
">KAF1663616.1 Glucose-6-phosphatase, partial [Aptenodytes patagonicus]",139,142,AMIDATION
">KAF1663616.1 Glucose-6-phosphatase, partial [Aptenodytes patagonicus]",,,None found
">KAF1642821.1 Glucose-6-phosphatase, partial [Eudyptes chrysocome]",139,142,AMIDATION
">KAF1642821.1 Glucose-6-phosphatase, partial [Eudyptes chrysocome]",,,None found
">KAF1641317.1 Glucose-6-phosphatase 2, partial [Eudyptes chrysocome]",,,None found
">KAF1634598.1 Glucose-6-phosphatase 2, partial [Eudyptes filholi]",,,None found
">KAF1627266.1 Glucose-6-phosphatase, partial [Eudyptes filholi]",139,142,AMIDATION
">KAF1627266.1 Glucose-6-phosphatase, partial [Eudyptes filholi]",,,None found
">KAF1613280.1 Glucose-6-phosphatase 2, partial [Eudyptes chrysolophus]",,,None found
">KAF1604860.1 Glucose-6-phosphatase, partial [Eudyptes chrysolophus]",139,142,AMIDATION
">KAF1604860.1 Glucose-6-phosphatase, partial [Eudyptes chrysolophus]",,,None found
">KAF1599534.1 UNVERIFIED_CONTAM: Glucose-6-phosphatase 2, partial [Eudyptes pachyrhynchus]",,,None found
">KAF1588750.1 Glucose-6-phosphatase 3, partial [Eudyptes moseleyi]",,,None found
">KAF1588749.1 Glucose-6-phosphatase 3, partial [Eudyptes moseleyi]",,,None found
">KAF1587281.1 Glucose-6-phosphatase 2, partial [Eudyptes moseleyi]",,,None found
">KAF1584371.1 Glucose-6-phosphatase, partial [Eudyptes moseleyi]",139,142,AMIDATION
">KAF1584371.1 Glucose-6-phosphatase, partial [Eudyptes moseleyi]",,,None found
">KAF1578265.1 UNVERIFIED_CONTAM: Glucose-6-phosphatase, partial [Eudyptes robustus]",139,142,AMIDATION
">KAF1578265.1 UNVERIFIED_CONTAM: Glucose-6-phosphatase, partial [Eudyptes robustus]",,,None found
">KAF1576510.1 UNVERIFIED_CONTAM: Glucose-6-phosphatase 2, partial [Eudyptes robustus]",,,None found
">KAF1574651.1 Glucose-6-phosphatase 3, partial [Eudyptes pachyrhynchus]",,,None found
">KAF1564213.1 Glucose-6-phosphatase 2, partial [Eudyptes schlegeli]",,,None found
">KAF1561075.1 UNVERIFIED_CONTAM: Glucose-6-phosphatase, partial [Eudyptes pachyrhynchus]",139,142,AMIDATION
">KAF1561075.1 UNVERIFIED_CONTAM: Glucose-6-phosphatase, partial [Eudyptes pachyrhynchus]",,,None found
">KAF1559300.1 Glucose-6-phosphatase 2, partial [Eudyptula minor]",,,None found
">KAF1558758.1 Glucose-6-phosphatase 3, partial [Eudyptes schlegeli]",,,None found
">KAF1548696.1 Glucose-6-phosphatase, partial [Eudyptula albosignata]",139,142,AMIDATION
">KAF1548696.1 Glucose-6-phosphatase, partial [Eudyptula albosignata]",,,None found
">KAF1546409.1 Glucose-6-phosphatase, partial [Eudyptula minor]",139,142,AMIDATION
">KAF1546409.1 Glucose-6-phosphatase, partial [Eudyptula minor]",,,None found
">KAF1545783.1 Glucose-6-phosphatase 2, partial [Eudyptula albosignata]",,,None found
">KAF1524284.1 Glucose-6-phosphatase, partial [Eudyptes sclateri]",139,142,AMIDATION
">KAF1524284.1 Glucose-6-phosphatase, partial [Eudyptes sclateri]",,,None found
">KAF1516079.1 Glucose-6-phosphatase 2, partial [Eudyptes sclateri]",,,None found
">KAF1506142.1 Glucose-6-phosphatase 2, partial [Megadyptes antipodes antipodes]",,,None found
">KAF1498621.1 Glucose-6-phosphatase 2, partial [Eudyptula minor novaehollandiae]",,,None found
">KAF1488921.1 Glucose-6-phosphatase, partial [Eudyptula minor novaehollandiae]",139,142,AMIDATION
">KAF1488921.1 Glucose-6-phosphatase, partial [Eudyptula minor novaehollandiae]",,,None found
">KAF1487788.1 Glucose-6-phosphatase, partial [Pygoscelis antarcticus]",139,142,AMIDATION
">KAF1487788.1 Glucose-6-phosphatase, partial [Pygoscelis antarcticus]",,,None found
">KAF1473286.1 Glucose-6-phosphatase, partial [Megadyptes antipodes antipodes]",139,142,AMIDATION
">KAF1473286.1 Glucose-6-phosphatase, partial [Megadyptes antipodes antipodes]",,,None found
">KAF1471003.1 Glucose-6-phosphatase, partial [Megadyptes antipodes antipodes]",139,142,AMIDATION
">KAF1471003.1 Glucose-6-phosphatase, partial [Megadyptes antipodes antipodes]",,,None found
">KAF1466645.1 Glucose-6-phosphatase 2, partial [Spheniscus demersus]",,,None found
">KAF1464176.1 Glucose-6-phosphatase, partial [Megadyptes antipodes antipodes]",139,142,AMIDATION
">KAF1464176.1 Glucose-6-phosphatase, partial [Megadyptes antipodes antipodes]",,,None found
">KAF1464082.1 Glucose-6-phosphatase, partial [Megadyptes antipodes antipodes]",139,142,AMIDATION
">KAF1464082.1 Glucose-6-phosphatase, partial [Megadyptes antipodes antipodes]",,,None found
">KAF1462438.1 Glucose-6-phosphatase 2, partial [Pygoscelis antarcticus]",,,None found
">KAF1459431.1 Glucose-6-phosphatase, partial [Spheniscus mendiculus]",139,142,AMIDATION
">KAF1459431.1 Glucose-6-phosphatase, partial [Spheniscus mendiculus]",,,None found
">KAF1451858.1 Glucose-6-phosphatase 2, partial [Pygoscelis papua]",,,None found
">KAF1440782.1 Glucose-6-phosphatase, partial [Spheniscus demersus]",139,142,AMIDATION
">KAF1440782.1 Glucose-6-phosphatase, partial [Spheniscus demersus]",,,None found
">KAF1432837.1 Glucose-6-phosphatase, partial [Spheniscus magellanicus]",139,142,AMIDATION
">KAF1432837.1 Glucose-6-phosphatase, partial [Spheniscus magellanicus]",,,None found
">KAF1432752.1 Glucose-6-phosphatase 3, partial [Spheniscus magellanicus]",,,None found
">KAF1431069.1 Glucose-6-phosphatase 2, partial [Spheniscus mendiculus]",,,None found
">KAF1411270.1 Glucose-6-phosphatase 2, partial [Spheniscus magellanicus]",,,None found
">KAF1404242.1 Glucose-6-phosphatase, partial [Spheniscus humboldti]",139,142,AMIDATION
">KAF1404242.1 Glucose-6-phosphatase, partial [Spheniscus humboldti]",,,None found
">KAF1398049.1 Glucose-6-phosphatase 2, partial [Spheniscus humboldti]",,,None found
">KAF1396094.1 Glucose-6-phosphatase 3, partial [Spheniscus humboldti]",,,None found
>XP_032046542.1 glucose-6-phosphatase 2 isoform X2 [Aythya fuligula],,,None found
>XP_032046541.1 glucose-6-phosphatase 2 isoform X1 [Aythya fuligula],,,None found
>XP_032058755.1 glucose-6-phosphatase isoform X2 [Aythya fuligula],139,142,AMIDATION
>XP_032058755.1 glucose-6-phosphatase isoform X2 [Aythya fuligula],,,None found
>XP_032058754.1 glucose-6-phosphatase isoform X1 [Aythya fuligula],139,142,AMIDATION
>XP_032058754.1 glucose-6-phosphatase isoform X1 [Aythya fuligula],,,None found
>XP_031990407.1 glucose-6-phosphatase [Corvus moneduloides],139,142,AMIDATION
>XP_031990407.1 glucose-6-phosphatase [Corvus moneduloides],,,None found
>XP_031990275.1 glucose-6-phosphatase 3 [Corvus moneduloides],,,None found
>XP_031970667.1 glucose-6-phosphatase 2 [Corvus moneduloides],,,None found
>XP_019472711.1 glucose-6-phosphatase 2 isoform X2 [Meleagris gallopavo],,,None found
>XP_019478895.1 glucose-6-phosphatase [Meleagris gallopavo],1,4,AMIDATION
>XP_019478895.1 glucose-6-phosphatase [Meleagris gallopavo],,,None found
">XP_010726181.1 glucose-6-phosphatase 3, partial [Meleagris gallopavo]",,,None found
>XP_010712010.1 glucose-6-phosphatase 2 isoform X3 [Meleagris gallopavo],,,None found
>XP_003207632.1 glucose-6-phosphatase 2 isoform X1 [Meleagris gallopavo],,,None found
>XP_031456721.1 glucose-6-phosphatase 3 [Phasianus colchicus],,,None found
>XP_031456720.1 glucose-6-phosphatase 3 [Phasianus colchicus],,,None found
>XP_031456719.1 glucose-6-phosphatase 3 [Phasianus colchicus],,,None found
>XP_031456423.1 glucose-6-phosphatase [Phasianus colchicus],213,216,AMIDATION
>XP_031456423.1 glucose-6-phosphatase [Phasianus colchicus],,,None found
>XP_031455386.1 glucose-6-phosphatase 2 isoform X3 [Phasianus colchicus],,,None found
>XP_031455384.1 glucose-6-phosphatase 2 isoform X2 [Phasianus colchicus],,,None found
>XP_031455383.1 glucose-6-phosphatase 2 isoform X1 [Phasianus colchicus],,,None found
>XP_031455382.1 glucose-6-phosphatase 2 isoform X1 [Phasianus colchicus],,,None found
>XP_030921395.1 glucose-6-phosphatase 3 [Geospiza fortis],,,None found
>XP_030913350.1 glucose-6-phosphatase 2 isoform X1 [Geospiza fortis],,,None found
>XP_005429668.1 glucose-6-phosphatase [Geospiza fortis],,,None found
>XP_005415893.1 glucose-6-phosphatase 2 isoform X2 [Geospiza fortis],,,None found
>XP_005415892.1 glucose-6-phosphatase 2 isoform X2 [Geospiza fortis],,,None found
>XP_030808354.1 glucose-6-phosphatase 2 isoform X2 [Camarhynchus parvulus],,,None found
>XP_030808353.1 glucose-6-phosphatase 2 isoform X1 [Camarhynchus parvulus],,,None found
>XP_030822287.1 glucose-6-phosphatase 3 isoform X3 [Camarhynchus parvulus],,,None found
>XP_030822286.1 glucose-6-phosphatase 3 isoform X2 [Camarhynchus parvulus],,,None found
>XP_030822285.1 glucose-6-phosphatase 3 isoform X1 [Camarhynchus parvulus],,,None found
>XP_030822190.1 glucose-6-phosphatase [Camarhynchus parvulus],,,None found
>XP_030309886.1 glucose-6-phosphatase 2 isoform X1 [Calypte anna],,,None found
>XP_030321679.1 glucose-6-phosphatase [Calypte anna],139,142,AMIDATION
>XP_030321679.1 glucose-6-phosphatase [Calypte anna],,,None found
>XP_008503927.1 glucose-6-phosphatase [Calypte anna],139,142,AMIDATION
>XP_008503927.1 glucose-6-phosphatase [Calypte anna],,,None found
>XP_008503354.1 glucose-6-phosphatase 2 isoform X2 [Calypte anna],,,None found
>XP_029819317.1 glucose-6-phosphatase 3 isoform X2 [Manacus vitellinus],279,282,AMIDATION
>XP_029819317.1 glucose-6-phosphatase 3 isoform X2 [Manacus vitellinus],,,None found
>XP_029819316.1 glucose-6-phosphatase 3 isoform X1 [Manacus vitellinus],,,None found
>XP_008922173.2 glucose-6-phosphatase [Manacus vitellinus],139,142,AMIDATION
>XP_008922173.2 glucose-6-phosphatase [Manacus vitellinus],,,None found
>XP_008929256.1 glucose-6-phosphatase 2 [Manacus vitellinus],,,None found
">XP_010161100.2 glucose-6-phosphatase 3, partial [Antrostomus carolinensis]",,,None found
>XP_010166327.1 glucose-6-phosphatase 2 isoform X2 [Antrostomus carolinensis],,,None found
>XP_010166326.1 glucose-6-phosphatase 2 isoform X1 [Antrostomus carolinensis],,,None found
>XP_027761383.1 glucose-6-phosphatase 3 isoform X3 [Empidonax traillii],,,None found
>XP_027761382.1 glucose-6-phosphatase 3 isoform X2 [Empidonax traillii],,,None found
>XP_027761381.1 glucose-6-phosphatase 3 isoform X1 [Empidonax traillii],,,None found
>XP_027751872.1 glucose-6-phosphatase [Empidonax traillii],139,142,AMIDATION
>XP_027751872.1 glucose-6-phosphatase [Empidonax traillii],,,None found
>XP_027767323.1 glucose-6-phosphatase 2 isoform X2 [Empidonax traillii],,,None found
>XP_027767322.1 glucose-6-phosphatase 2 isoform X2 [Empidonax traillii],,,None found
>XP_027767321.1 glucose-6-phosphatase 2 isoform X1 [Empidonax traillii],,,None found
>XP_027524670.1 LOW QUALITY PROTEIN: glucose-6-phosphatase 3 [Corapipo altera],,,None found
>XP_027520533.1 glucose-6-phosphatase [Corapipo altera],139,142,AMIDATION
>XP_027520533.1 glucose-6-phosphatase [Corapipo altera],,,None found
>XP_027492660.1 glucose-6-phosphatase 2 isoform X4 [Corapipo altera],,,None found
>XP_027492659.1 glucose-6-phosphatase 2 isoform X4 [Corapipo altera],,,None found
>XP_027492658.1 glucose-6-phosphatase 2 isoform X4 [Corapipo altera],,,None found
>XP_027492657.1 glucose-6-phosphatase 2 isoform X4 [Corapipo altera],,,None found
>XP_027492656.1 glucose-6-phosphatase 2 isoform X4 [Corapipo altera],,,None found
>XP_027492655.1 glucose-6-phosphatase 2 isoform X4 [Corapipo altera],,,None found
>XP_027492653.1 glucose-6-phosphatase 2 isoform X3 [Corapipo altera],,,None found
>XP_027492652.1 glucose-6-phosphatase 2 isoform X2 [Corapipo altera],,,None found
>XP_027492651.1 glucose-6-phosphatase 2 isoform X2 [Corapipo altera],,,None found
>XP_027492650.1 glucose-6-phosphatase 2 isoform X2 [Corapipo altera],,,None found
>XP_027492649.1 glucose-6-phosphatase 2 isoform X1 [Corapipo altera],,,None found
>XP_027529463.1 glucose-6-phosphatase 3-like isoform X2 [Neopelma chrysocephalum],,,None found
>XP_027529462.1 glucose-6-phosphatase 3-like isoform X1 [Neopelma chrysocephalum],,,None found
>XP_027529459.1 glucose-6-phosphatase 3-like isoform X2 [Neopelma chrysocephalum],,,None found
>XP_027529458.1 glucose-6-phosphatase 3-like isoform X1 [Neopelma chrysocephalum],,,None found
>XP_027558020.1 glucose-6-phosphatase [Neopelma chrysocephalum],139,142,AMIDATION
>XP_027558020.1 glucose-6-phosphatase [Neopelma chrysocephalum],,,None found
